id,ssn,admitTime,gender,firstTime,weight,age
1,184-33-1170,2013-16-17T19:44:28.998,Female,Yes,137,35
2,693-57-7276,2013-15-17T19:44:28.998,Male,No,156,30
3,803-10-2074,2013-13-17T19:44:28.998,Female,Yes,157,37
4,723-87-6313,2013-14-17T19:44:28.998,Male,Yes,220,42
5,278-10-0630,2013-13-17T19:44:28.998,Female,No,148,58
6,619-59-7448,2013-03-17T19:44:28.998,Female,No,182,41
7,167-56-4042,2013-18-17T19:44:28.99888,Male,Yes,156,25
8,112-35-3663,2013-18-17T19:44:28.99888,Female,No,208,27
9,112-38-6774,2013-14-17T19:44:28.998,Female,Yes,206,20
10,845-20-2708,2013-03-17T19:44:28.99,Male,No,191,24
11,709-48-3862,2013-09-17T19:44:28.998,Female,Yes,191,46
12,414-48-6781,2013-12-17T19:44:28.99,Female,No,201,23
13,488-05-5163,2013-11-17T19:44:28.998,Male,No,181,27
14,195-37-3919,2013-18-17T19:44:28.99888,Female,No,153,49
15,847-54-0411,2013-13-17T19:44:28.998,Male,No,157,37
16,636-29-8401,2013-14-17T19:44:28.998,Female,Yes,203,34
17,710-48-8887,2013-22-17T19:44:28.998,Female,No,222,49
18,134-41-0337,2013-10-17T19:44:28.998,Female,Yes,222,44
19,709-95-8227,2013-14-17T19:44:28.998,Female,No,172,24
20,842-97-6714,2013-11-17T19:44:28.998,Male,No,181,51
21,241-33-6973,2013-09-17T19:44:28.998,Female,Yes,175,43
22,266-50-8285,2013-09-17T19:44:28.998,Male,Yes,130,37
23,255-81-9750,2013-11-17T19:44:28.998,Male,No,210,41
24,246-90-4961,2013-13-17T19:44:28.998,Male,No,184,46
25,138-90-0651,2013-17-17T19:44:28.998,Male,No,217,42
26,242-94-9096,2013-18-17T19:44:28.99888,Male,No,196,53
27,190-84-5118,2013-03-17T19:44:28.998,Male,No,204,44
28,122-48-4349,2013-11-17T19:44:28.998,Female,Yes,172,35
29,819-09-8831,2013-11-17T19:44:28.998,Male,No,162,34
30,159-34-0802,2013-09-17T19:44:28.998,Male,Yes,149,33
31,366-93-4510,2013-14-17T19:44:28.998,Female,Yes,153,55
32,191-53-8812,2013-12-17T19:44:28.99,Female,Yes,224,56
33,101-46-0876,2013-11-17T19:44:28.998,Male,Yes,200,59
34,115-32-7751,2013-17-17T19:44:28.998,Male,No,125,57
35,249-73-4660,2013-22-17T19:44:28.998,Female,No,156,32
36,937-25-7372,2013-03-17T19:44:28.998,Female,Yes,155,49
37,538-19-2027,2013-15-17T19:44:28.998,Male,Yes,151,46
38,726-68-2061,2013-03-17T19:44:28.998,Male,Yes,198,30
39,384-11-0303,2013-10-17T19:44:28.998,Female,Yes,125,35
40,456-54-8735,2013-14-17T19:44:28.998,Female,Yes,186,37
41,789-01-8810,2013-03-17T19:44:28.998,Female,Yes,152,53
42,931-42-3664,2013-17-17T19:44:28.998,Male,Yes,213,31
43,181-56-4357,2013-15-17T19:44:28.998,Female,Yes,166,21
44,642-42-6921,2013-14-17T19:44:28.998,Female,No,190,50
45,696-90-4079,2013-14-17T19:44:28.998,Male,No,197,55
46,392-91-0264,2013-17-17T19:44:28.998,Male,Yes,185,57
47,243-68-0220,2013-10-17T19:44:28.998,Male,Yes,221,54
48,712-74-1643,2013-14-17T19:44:28.998,Male,No,141,40
49,572-74-6448,2013-16-17T19:44:28.998,Female,Yes,163,60
50,971-12-9091,2013-13-17T19:44:28.998,Male,Yes,146,45
51,386-35-2484,2013-16-17T19:44:28.998,Male,Yes,147,46
52,306-47-1835,2013-12-17T19:44:28.99,Female,No,178,38
53,102-49-6762,2013-12-17T19:44:28.99,Female,No,130,30
54,657-12-6759,2013-11-17T19:44:28.998,Male,Yes,175,27
55,374-25-7313,2013-03-17T19:44:28.99,Female,No,189,51
56,768-05-2521,2013-09-17T19:44:28.998,Female,Yes,198,37
57,287-15-6424,2013-11-17T19:44:28.998,Female,Yes,225,33
58,274-83-8557,2013-11-17T19:44:28.998,Male,No,140,59
59,138-20-1329,2013-17-17T19:44:28.998,Female,No,138,29
60,661-73-4760,2013-11-17T19:44:28.998,Female,Yes,179,31
61,656-25-3364,2013-01-17T12:44:28.998,Female,No,129,20
62,352-52-6290,2013-03-17T19:44:28.99,Male,No,138,45
63,461-60-2985,2013-18-17T19:44:28.99888,Female,Yes,219,48
64,945-26-2390,2013-11-17T19:44:28.998,Female,Yes,168,54
65,851-01-1505,2013-18-17T19:44:28.99888,Female,No,154,25
66,401-17-6348,2013-03-17T19:44:28.99,Male,No,147,43
67,708-71-0352,2013-22-17T19:44:28.998,Female,Yes,182,34
68,372-74-1858,2013-03-17T19:44:28.998,Female,Yes,194,55
69,556-55-8061,2013-12-17T19:44:28.99,Female,Yes,147,51
70,398-86-5515,2013-16-17T19:44:28.998,Female,No,137,50
71,380-00-8558,2013-16-17T19:44:28.998,Female,Yes,146,30
72,984-94-2609,2013-11-17T19:44:28.998,Female,No,145,23
73,460-04-1624,2013-16-17T19:44:28.998,Female,No,125,50
74,448-73-0347,2013-13-17T19:44:28.998,Female,No,206,37
75,246-05-6012,2013-14-17T19:44:28.998,Male,Yes,127,58
76,446-24-0055,2013-03-17T19:44:28.998,Male,No,156,44
77,485-85-0590,2013-11-17T19:44:28.998,Female,Yes,153,55
78,988-80-5741,2013-09-17T19:44:28.998,Male,Yes,200,29
79,488-54-6027,2013-15-17T19:44:28.998,Female,No,202,51
80,765-94-5333,2013-18-17T19:44:28.99888,Male,Yes,197,59
81,920-40-2578,2013-11-17T19:44:28.998,Male,Yes,199,25
82,911-45-1561,2013-15-17T19:44:28.998,Female,Yes,169,54
83,147-83-6506,2013-16-17T19:44:28.998,Female,Yes,149,27
84,492-45-6323,2013-13-17T19:44:28.998,Female,Yes,127,46
85,204-70-1906,2013-22-17T19:44:28.998,Female,No,204,58
86,768-46-7249,2013-14-17T19:44:28.998,Female,No,199,60
87,807-39-5584,2013-03-17T19:44:28.998,Female,No,188,32
88,371-13-2768,2013-03-17T19:44:28.998,Female,No,189,25
89,414-42-5174,2013-09-17T19:44:28.998,Female,Yes,145,46
90,496-69-7272,2013-15-17T19:44:28.998,Female,No,151,28
91,228-73-7381,2013-14-17T19:44:28.998,Male,No,156,31
92,900-64-0843,2013-22-17T19:44:28.998,Female,Yes,200,57
93,292-71-0754,2013-09-17T19:44:28.998,Male,No,133,41
94,839-11-3554,2013-22-17T19:44:28.998,Female,Yes,127,21
95,792-30-3515,2013-01-17T12:44:28.998,Female,No,193,35
96,809-19-0943,2013-14-17T19:44:28.998,Male,Yes,205,39
97,484-31-6634,2013-03-17T19:44:28.998,Female,No,201,27
98,245-28-3075,2013-18-17T19:44:28.99888,Male,No,130,42
99,709-25-8231,2013-18-17T19:44:28.99888,Female,Yes,161,32
100,167-47-2334,2013-16-17T19:44:28.998,Female,No,146,34
101,398-60-9161,2013-12-17T19:44:28.99,Male,No,160,53
102,684-66-1305,2013-03-17T19:44:28.99,Female,No,189,47
103,838-14-2466,2013-12-17T19:44:28.99,Female,Yes,212,43
104,545-50-1249,2013-11-17T19:44:28.998,Male,Yes,156,22
105,435-86-8916,2013-10-17T19:44:28.998,Female,Yes,161,49
106,131-78-8488,2013-17-17T19:44:28.998,Female,No,142,22
107,678-10-3079,2013-10-17T19:44:28.998,Male,No,184,42
108,580-82-4499,2013-14-17T19:44:28.998,Female,No,195,37
109,104-48-6114,2013-17-17T19:44:28.998,Male,No,139,59
110,233-23-5861,2013-13-17T19:44:28.998,Male,Yes,162,52
111,521-97-4486,2013-16-17T19:44:28.998,Female,No,191,26
112,142-52-5190,2013-15-17T19:44:28.998,Female,Yes,127,38
113,559-82-2126,2013-03-17T19:44:28.99,Female,No,127,34
114,832-58-1911,2013-03-17T19:44:28.998,Female,No,165,34
115,541-72-8223,2013-17-17T19:44:28.998,Male,No,213,47
116,639-32-4753,2013-12-17T19:44:28.99,Female,No,146,50
117,918-72-8584,2013-03-17T19:44:28.99,Female,No,209,33
118,605-49-7174,2013-09-17T19:44:28.998,Female,No,140,47
119,716-15-6814,2013-16-17T19:44:28.998,Female,No,212,44
120,996-04-6327,2013-12-17T19:44:28.99,Male,No,192,53
121,426-60-7165,2013-22-17T19:44:28.998,Male,Yes,214,60
122,111-25-1969,2013-03-17T19:44:28.99,Female,Yes,199,21
123,789-09-2521,2013-10-17T19:44:28.998,Female,No,170,55
124,755-34-1242,2013-11-17T19:44:28.998,Male,No,210,35
